Timestamp | Query  | Exception
2013-02-17T07:53:52.874817 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T07:56:56.477593 | email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;loca | substring not found
2013-02-17T07:57:03.199240 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T07:58:09.555326 | email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T07:58:18.625817 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T07:59:44.366396 | email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T08:00:07.130761 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T08:02:50.710139 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T08:04:15.105271 | email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T08:05:35.782806 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T08:06:59.350553 | q | substring not found
2013-02-17T08:07:26.262687 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | maximum recursion depth exceeded
2013-02-17T08:27:37.916383 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | 
2013-02-17T08:29:24.722687 | return email,locality,experience from 10 profiles whose [(email=gmail;or;(email=yahoo;and;experience=0));and;((locality=bangalore;and;experience=20);or;locality=delhi)] | maximum recursion depth exceeded
