experience	education	web	management	software engineering	mobile	research	network management
continuous	d	continuous	continuous	continuous	continuous	continuous	continuous
							class
16.750	#RNGE	0.000	6.667	2.500	0.000	0.000	1.667
2.083	#RNGE	2.479	0.000	0.000	2.500	0.000	5.000
0.833	#RNGE	19.008	15.000	12.500	17.500	25.000	15.000
0.833	#RNGE	23.967	15.000	10.000	17.500	25.000	15.000
2.250	#RNGE	27.273	15.000	10.000	20.000	35.000	20.000
13.583	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
7.750	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
14.000	#RNGE	23.967	15.000	10.000	17.500	30.000	15.000
0.000	#RNGE	26.446	15.000	10.000	17.500	25.000	15.000
8.499	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
13.833	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	19.008	15.000	10.000	20.000	25.000	20.000
1.000	#RNGE	22.314	15.000	10.000	17.500	35.000	15.000
0.000	#RNGE	0.000	0.000	0.000	2.500	0.000	0.000
1.000	#RNGE	22.314	15.000	10.000	17.500	35.000	15.000
0.000	#RNGE	27.273	15.000	10.000	20.000	35.000	15.000
1.250	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
16.499	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
10.250	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
3.500	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	2.500	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	26.446	15.000	10.000	20.000	25.000	15.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
3.833	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
1.750	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	19.008	15.000	10.000	17.500	30.000	15.000
9.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
2.583	#RNGE	19.835	15.000	10.000	17.500	40.000	15.000
9.666	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.916	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
2.417	#RNGE	2.479	0.000	0.000	0.000	0.000	0.000
4.833	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
1.833	#RNGE	19.008	15.000	10.000	17.500	25.000	15.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.833	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
32.417	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	25.620	15.000	10.000	20.000	35.000	20.000
1.000	#RNGE	26.446	15.000	10.000	20.000	25.000	20.000
1.333	#RNGE	24.793	15.000	10.000	25.000	25.000	15.000
3.749	#RNGE	19.835	15.000	10.000	17.500	25.000	15.000
2.250	#RNGE	19.008	15.000	10.000	17.500	25.000	15.000
2.083	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	19.008	15.000	10.000	17.500	25.000	15.000
3.416	#RNGE	0.000	0.000	0.000	0.000	5.000	0.000
16.749	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
5.833	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
10.165	#RNGE	19.008	15.000	10.000	17.500	30.000	15.000
4.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
0.833	#RNGE	19.008	15.000	10.000	17.500	25.000	15.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
2.167	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
2.833	#RNGE	3.306	0.000	0.000	0.000	0.000	5.000
4.333	#RNGE	1.653	0.000	0.000	0.000	0.000	0.000
0.000	#RNGE	26.446	15.000	10.000	17.500	40.000	20.000
0.417	#RNGE	0.826	0.000	0.000	0.000	10.000	0.000
2.833	#RNGE	19.008	15.000	10.000	17.500	30.000	20.000
0.916	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
6.749	#RNGE	19.008	15.000	10.000	17.500	25.000	15.000
2.417	#RNGE	19.835	15.000	10.000	17.500	25.000	15.000
0.000	#RNGE	0.000	0.000	0.000	0.000	0.000	0.000
